Gene Name,Centrality,Rank
SERPIND1,0.5490915636660344,614
ATP6V1B1,0.5366506238368862,615
AC002550.6,0.5227749045955634,616
RHOV,0.5552347073073707,617
DPY19L1P2,0.515023098953063,618
CFL1P1,0.531880901039274,619
SLC2A3P4,0.5245740415682403,620
RP11-642A1.2,0.5221118177810362,621
RPL13P12,0.5101262217236118,622
AC069513.4,0.5334883242446257,623
SPDYE1,0.5590380213969077,624
AC068282.3,0.5344943587349822,625
LRGUK,0.5170433141691789,626
RP11-276H7.2,0.5146621553988946,627
MUC6,0.5499513149206635,628
NPPB,0.5266737359684001,629
RP11-571F15.3,0.538833435090181,630
ST3GAL5-AS1,0.513376831101686,631
RP11-126K1.2,0.5352176959171012,632
RP11-496H1.2,0.5188773525645035,633
RP11-170K4.2,0.5248935749389977,634
RP11-255H23.2,0.538338845345551,635
RP11-1280N14.3,0.5250563583373739,636
ZBTB32,0.5139892293553581,637
RPL31P52,0.5186315774174909,638
RP11-474O21.5,0.5458367660732046,639
IGLC1,0.5247591385848246,640
RP11-326C3.2,0.5211785438160952,641
PAX8-AS1,0.5200230131971775,642
GSTM1,0.5274613656903919,643
AQP5,0.5508130102433436,644
RP11-843P14.2,0.5428935383440654,645
ZG16B,0.5339364528025223,646
AL450992.2,0.5400741257946554,647
RP4-575N6.2,0.5211030406251911,648
CTD-2349P21.9,0.5319887789802068,649
HPCA,0.5544698706800502,650
IGLC2,0.5374310374736637,651
RP11-231G3.1,0.5217405651948372,652
C15orf48,0.5259145515422947,653
TPSD1,0.523855090380692,654
MKRN3,0.5299662876347183,655
GJB5,0.545575941474572,656
GFAP,0.5693773353911422,657
FXYD3,0.574373856511836,658
KANSL1-AS1,0.5280573403084343,659
RP11-483I13.6,0.5218797110426637,660
EPCAM,0.5754994497579419,661
C1orf145,0.5264046151229917,662
KRT16,0.5552457072705286,663
RP11-253I19.3,0.5243306064085403,664
UPF3AP2,0.5054830299509057,665
CTD-2376I4.2,0.5302007180462346,666
CMB9-94B1.2,0.5263449074298994,667
CAPN12,0.5381215638850811,668
RP11-403I13.8,0.5034867548235893,669
YBEY,0.5356859851165288,670
RP11-700J17.1,0.5187667939809801,671
RP11-276H19.2,0.5204844708060047,672
IFNA20P,0.5059946426196358,673
RP11-151N17.1,0.5205850194274201,674
CYCSP24,0.5414814875195806,675
